s.no,level,label,New label,Name in tooltip,New S.no,type,description,category,division
30,L11,L11_R1_LL_corridor,L11_R1_LL,Residential Lift Lobby 1,,Residential_Street,walk,horizontal,residential
31,L11,L11_R2_LL,L11_R2_LL,Residential Lift Lobby 2,19,Vertical_Street,lift,vertical,residential
32,L11,L11_R2_LL_corridor,L11_R2_LL,Residential Lift Lobby 2,,Residential_Street,walk,horizontal,residential
33,L1,L1_CLL,L1_CLL,Main Lift Lobby,20,Vertical_Street,lift,vertical,community
34,L1,L1_CP_walkway,L1_CP,Community Plaza,21,Commercial_Street,walk,horizontal,community
35,L1,L1_CP_zone_1,L1_CP,Community Plaza,,Social_Space,plaza,open,community
36,L1,L1_CP_zone_2,L1_CP,Community Plaza,,Social_Space,plaza,open,community
37,L1,L1_CP_zone_3,L1_CP,Community Plaza,,Social_Space,plaza,open,community
38,L1,L1_CP_zone_4,L1_CP,Community Plaza,,Social_Space,plaza,open,community
39,L1,L1_ELL,L1_ELL,Emergency Lift,22,Vertical_Street,stairs,vertical,service
40,L1,L1_ELL_2,L1_ELL,Emergency Lift,,Vertical_Street,lift,vertical,service
41,L1,L1_Entrance_1,L1_Ent_1,Main Entrance,23,Entrance_Street,walk,horizontal,community
42,L1,L1_Entrance_1_lobby,L1_Ent_1,Main Entrance,,Commercial_Street,walk,horizontal,community
43,L1,L1_Entrance_2,L1_Ent_2,Entrance near Residential Lift Lobby 1,24,Entrance_Street,walk,horizontal,community
44,L1,L1_Entrance_2_3_walkway,L1_Ent_2,Entrance near Residential Lift Lobby 1,,Entrance_Street,walk,horizontal,community
45,L1,L1_Entrance_3,L1_Ent_2,Entrance near Residential Lift Lobby 1,,Entrance_Street,walk,horizontal,community
46,L1,L1_Entrance_3_4_walkway,L1_Ent_3,Entrance near Residential Lift Lobby 2,25,Entrance_Street,walk,horizontal,community
47,L1,L1_Entrance_4,L1_Ent_3,Entrance near Residential Lift Lobby 2,,Entrance_Street,walk,horizontal,community
48,L1,L1_Entrance_5,L1_Ent_3,Entrance near Residential Lift Lobby 2,,Entrance_Street,walk,horizontal,community
49,L1,L1_Entrance_6,L1_Ent_3,Entrance near Residential Lift Lobby 2,,Entrance_Street,walk,horizontal,community
50,L1,L1_Entrance_7,L1_Ent_mrt,Entrance from Admiralty MRT,26,Entrance_Street,walk,horizontal,community
51,L1,L1_Entrance_8,L1_Ent_mrt,Entrance from Admiralty MRT,,Entrance_Street,stairs,vertical,community
52,L1,L1_Entrance_mrt,L1_Ent_mrt,Entrance from Admiralty MRT,,Entrance_Street,walk,horizontal,community
53,L1,L1_Fish_pond,L1_Fish_pond,Fish Pond,27,Social_Space,stage,open,community
54,L1,L1_PG,L1_PG,Playground,28,Social_Space,playground,open,community
55,L1,L1_R1_LL,L1_R1_LL,Residential Lift Lobby 1,29,Vertical_Street,lift,vertical,residential
56,L1,L1_R1_LL_walkway,L1_R1_LL,Residential Lift Lobby 1,,Residential_Street,walk,horizontal,residential
57,L1,L1_R2_LL,L1_R2_LL,Residential Lift Lobby 2,30,Vertical_Street,lift,vertical,residential
58,L1,L1_RR_walkway,L1_SLL,Service Lift,31,Community_Street,walk,horizontal,residential
59,L1,L1_SLL,L1_SLL,Service Lift,,Vertical_Street,lift,vertical,service
60,L1,L1_SLL_corridor,L1_SLL,Service Lift,,Corridor,walk,horizontal,community
61,L1,L1_Shop_walkway_1,L1_Walkway,Walkway,32,Commercial_Street,walk,horizontal,community
62,L1,L1_Shop_walkway_2,L1_Walkway,Walkway,,Commercial_Street,walk,horizontal,community
63,L1,L1_Shop_walkway_3,L1_Walkway,Walkway,,Commercial_Street,walk,horizontal,community
64,L1,L1_Shop_walkway_4,L1_Walkway,Walkway,,Commercial_Street,walk,horizontal,community
65,L1,L1_Thoroughfare,L1_Entrance_3,Entrance near Residential Lift Lobby 2,33,Entrance_Street,walk,horizontal,community
66,L1,L1_Yassin_walkway,L1_Walkway,Walkway,,Commercial_Street,walk,horizontal,community
67,L2,L2_CLL,L2_CLL,Main Lift Lobby,34,Vertical_Street,lift,vertical,community
68,L2,L2_ELL_1,L2_ELL,Emergency Lift,35,Vertical_Street,lift,vertical,service
69,L2,L2_ELL_2,L2_ELL,Emergency Lift,,Vertical_Street,lift,vertical,service
70,L2,L2_FC_zone_1,L2_FC,Food Court,36,Commercial_Street,table,open,community
71,L2,L2_FC_zone_10,L2_FC,Food Court,,Commercial_Street,table,open,community
72,L2,L2_FC_zone_11,L2_FC,Food Court,,Commercial_Street,table,open,community
73,L2,L2_FC_zone_2,L2_FC,Food Court,,Commercial_Street,table,open,community
74,L2,L2_FC_zone_3,L2_FC,Food Court,,Commercial_Street,table,open,community
75,L2,L2_FC_zone_4,L2_FC,Food Court,,Commercial_Street,table,open,community
76,L2,L2_FC_zone_5,L2_FC,Food Court,,Commercial_Street,table,open,community
77,L2,L2_FC_zone_5_walkway,L2_FC,Food Court,,Commercial_Street,walk,horizontal,community
78,L2,L2_FC_zone_6,L2_FC,Food Court,,Commercial_Street,table,open,community
79,L2,L2_FC_zone_7,L2_FC,Food Court,,Commercial_Street,table,open,community
80,L2,L2_FC_zone_8,L2_FC,Food Court,,Commercial_Street,table,open,community
81,L2,L2_FC_zone_8_walkway,L2_FC,Food Court,,Commercial_Street,walk,horizontal,community
82,L2,L2_FC_zone_9,L2_FC,Food Court,,Commercial_Street,table,open,community
83,L2,L2_FC_zone_9_walkway,L2_FC,Food Court,,Commercial_Street,walk,horizontal,community
